angDist,_RAJ2000,_DEJ2000,E,GaiaDR2,RAJ2000,DEJ2000,PRF,Simbad,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr
0.175493,132.80380179234,11.89783431383,,604922267919526912,132.80380179234,11.89783431383,1.0,Simbad,132.80385003053,11.89784649362,0.0006004,0.0003941,117.69,604922267919526912,132.80380024159,0.0285,11.89783392429,0.0166,1.1090,0.0354,31.3676,11.321,-10.962,0.035,-2.828,0.028,370,-0.0916,377.00,0.000,0.000e+00,31,,,17,0.996,0,1.41683e+04,3.88729e+00,15.309071,6.89195e+03,1.23176e+01,15.742686,1.03544e+04,14.710083,1.217,1.032603,,,0,,,122271328038357903,1237671125370339690,,510153097,0.002771,0.003399,0.003989,15.309071,0.002771,1.41683e+04,-0.003,0.5623,0.4468,-0.3361
0.178101,132.76169590531,11.8819233381,,604922027401374080,132.76169590531,11.8819233381,1.0,Simbad,132.76174503545,11.88193500333,0.0009376,0.0006415,116.24,604922027401374080,132.76169432007,0.0470,11.88192295480,0.0274,1.1395,0.0564,20.1900,11.491,-11.166,0.055,-2.711,0.044,339,-0.1643,343.25,0.000,0.000e+00,31,,,18,0.993,0,5.51200e+03,3.16600e+00,16.334093,2.27406e+03,1.04565e+01,16.946537,4.61617e+03,15.587191,1.250,1.359346,,,0,,,122251327617518805,1237671125370339750,,510153026,0.002825,0.005719,0.005042,16.334093,0.002825,5.51200e+03,-0.004,0.8875,0.7092,-0.2946
0.173314,132.68792937428,11.60066352804,,604907592015745792,132.68792937428,11.60066352804,1.0,Simbad,132.68797715250,11.60067480994,0.0006415,0.0004322,103.39,604907592015745792,132.68792783168,0.0310,11.60066316328,0.0156,1.2142,0.0348,34.8567,11.182,-10.871,0.039,-2.621,0.028,382,2.0709,452.81,0.027,1.541e-01,31,,,18,1.075,0,1.35774e+04,9.73573e+00,15.355323,5.89485e+03,1.93131e+01,15.912361,1.09728e+04,14.647100,1.242,1.265261,,,0,,,121921326879891292,1237671262272159943,,509150244,0.002863,0.004521,0.004321,15.355323,0.002863,1.35774e+04,-0.001,0.6320,0.4459,-0.1796
0.177673,132.8746629624,11.58642305557,,604896395036758528,132.8746629624,11.58642305557,1.0,Simbad,132.87471194719,11.58643459087,0.0002511,0.0001687,103.05,604896395036758528,132.87466139670,0.0126,11.58642275022,0.0064,1.1767,0.0148,79.5938,11.456,-11.142,0.015,-2.664,0.011,419,-2.7068,522.30,0.029,1.106e+00,31,,,17,0.907,0,1.75450e+05,3.08385e+01,12.576983,9.70120e+04,6.06607e+01,12.871478,1.12238e+05,12.122548,1.193,0.748930,,,0,,,121901328747834240,1237671124833468699,,508147348,0.002762,0.002872,0.003801,12.576983,0.002762,1.75450e+05,-0.003,0.2476,0.1739,-0.1768
0.175536,132.80048868823,11.91122023371,,604922474077954944,132.80048868823,11.91122023371,1.0,Simbad,132.80053672550,11.91123320487,0.0005270,0.0003671,110.95,604922474077954944,132.80048714901,0.0267,11.91121981523,0.0147,1.1806,0.0324,36.4736,11.323,-10.915,0.032,-3.013,0.024,361,0.2432,376.14,0.000,0.000e+00,31,,,18,1.008,0,1.79004e+04,4.90300e+00,15.055208,8.98841e+03,1.57157e+01,15.454335,1.26962e+04,14.488711,1.211,0.965624,,,0,,,122291328005433963,1237671125370339684,,510153085,0.002771,0.003375,0.003961,15.055208,0.002771,1.79004e+04,-0.002,0.5094,0.3912,-0.2396
0.173518,133.38357079882,11.5796475447,,604708202453409408,133.38357079882,11.5796475447,1.0,Simbad,133.38361855249,11.57965914835,0.0003409,0.0001934,109.20,604708202453409408,133.38356927708,0.0144,11.57964722514,0.0076,1.1627,0.0197,58.9601,11.188,-10.861,0.020,-2.683,0.013,539,-1.1918,878.57,0.078,7.892e+00,31,,,18,0.963,0,1.32689e+05,2.02600e+01,12.880277,7.40620e+04,3.09584e+01,13.164553,8.36586e+04,12.441619,1.189,0.722934,,,0,,,121891333836096102,1237671124833730569,,508147627,0.002760,0.002827,0.003799,12.880277,0.002760,1.32689e+05,-0.005,0.3282,0.2143,-0.3482
0.174597,133.04798045238,11.81238156751,,604906840397139584,133.04798045238,11.81238156751,1.0,Simbad,133.04802856520,11.81239315784,0.0021578,0.0013942,104.05,604906840397139584,133.04797891138,0.1068,11.81238118402,0.0524,1.1754,0.1323,8.8832,11.262,-10.936,0.131,-2.694,0.090,398,1.0512,442.07,0.062,6.924e-02,31,,,18,1.037,0,1.48663e+03,1.44379e+00,17.756857,4.31710e+02,9.44952e+00,18.750563,1.54168e+03,16.777908,1.327,1.972654,,,0,,,122171330480045362,1237671262272357121,,510153467,0.002950,0.023928,0.006940,17.756857,0.002950,1.48663e+03,-0.004,2.1205,1.4504,-0.2076
0.172341,132.87248578376,11.90386661794,,604922985178465152,132.87248578376,11.90386661794,1.0,Simbad,132.87253316345,11.90387855283,0.0004126,0.0002635,114.84,604922985178465152,132.87248424686,0.0190,11.90386630124,0.0108,1.1049,0.0244,45.2861,11.117,-10.770,0.024,-2.757,0.018,396,9.8961,1130.07,0.141,2.333e+01,31,,,17,1.373,0,1.58564e+05,3.00975e+01,12.686858,8.69865e+04,3.60088e+01,12.989913,1.02083e+05,12.225514,1.192,0.764399,33.38,4.73,16,6000.0,3.5,122281328725555137,,,510153240,0.002763,0.002826,0.003797,12.686858,0.002763,1.58564e+05,-0.005,0.3905,0.2954,-0.3333
0.173899,132.92646721685,11.85639740938,,604919480485158784,132.92646721685,11.85639740938,1.0,Simbad,132.92651493480,11.85640975963,0.0003218,0.0002062,101.33,604919480485158784,132.92646568694,0.0154,11.85639705756,0.0079,1.2152,0.0195,62.3409,11.215,-10.844,0.020,-2.858,0.013,449,1.3074,1154.85,0.099,1.571e+01,31,,,17,1.043,0,7.69341e+05,1.18561e+02,10.972071,3.40493e+05,1.38652e+02,11.508273,6.10788e+05,10.283169,1.236,1.225104,33.79,0.42,15,4250.0,4.0,122221329265407905,,,510153332,0.002760,0.002825,0.003791,10.972071,0.002760,7.69341e+05,-0.003,0.3181,0.2119,-0.1744
0.173354,132.77419972423,11.88630462741,,604922061761107584,132.77419972423,11.88630462741,1.0,Simbad,132.77424742726,11.88631644933,0.0004800,0.0003192,111.74,604922061761107584,132.77419819830,0.0234,11.88630424191,0.0136,1.1619,0.0294,39.4752,11.182,-10.839,0.029,-2.747,0.022,372,0.3276,388.37,0.051,7.775e-01,31,,,18,1.011,0,2.14801e+04,4.57923e+00,14.857274,1.09284e+04,1.67351e+01,15.242156,1.50230e+04,14.306003,1.208,0.936153,,,0,,,122261327742554062,1237671125370339682,,510153042,0.002765,0.003248,0.003914,14.857274,0.002765,2.14801e+04,-0.003,0.4612,0.3457,-0.2772
